year,city,region,n,pop
2009,Portland,West,35,579804
2009,San Diego,West,43,1297713
2009,San Francisco,West,23,802668
2009,San Jose,West,40,948537
2009,Seattle,West,14,605912
2009,St. Louis,Midwest,6,322205
2009,Taylor,Midwest,2,63271
2009,Tulsa,South,1,392484
2009,Washington,South,35,601782
2009,Wichita,Midwest,28,378882
2010,Boston,Northeast,148,621074
2010,Chicago,Midwest,17,2697529
2010,Cincinnati,Midwest,10,296837
2010,Cleveland,Midwest,14,395890
2010,Cleveland,South,4,395890
2010,Columbus,Midwest,46,790935
2010,Dallas,South,12,1200372
2010,Denver,West,43,603354
2010,Detroit,Midwest,4,711120
2010,Eugene,West,30,156527
2010,Grand Rapids,Midwest,7,188003
2010,Houston,South,13,2098446
2010,Indianapolis,Midwest,43,821555
2010,Kansas City,Midwest,76,460737
2010,Keansburg,Northeast,26,10091
2010,Las Vegas Metropolitan Police Department,West,52,584606
2010,Lincoln,Midwest,40,259261
2010,Lincoln,Northeast,2,259261
2010,Los Angeles,West,138,3795370
2010,Memphis,South,15,652309
2010,Mesa,West,7,440995
2010,Milwaukee,Midwest,35,594881
2010,Minneapolis,Midwest,47,383067
2010,New York,Northeast,348,8190355
2010,Philadelphia,Northeast,8,1528293
2010,Phoenix,West,135,1449295
2010,Pittsburgh,Northeast,9,305410
2010,Portland,Northeast,7,585436
2010,Portland,West,29,585436
2010,San Diego,West,49,1305970
2010,San Francisco,West,63,805550
2010,San Jose,West,24,954492
2010,Seattle,West,15,610639
2010,St. Louis,Midwest,4,319318
2010,Taylor,Midwest,2,62982
2010,Tulsa,South,3,392421
2010,Washington,South,57,605085
2010,Wichita,Midwest,20,382726
2011,Boston,Northeast,206,630480
2011,Chicago,Midwest,10,2708209
2011,Cincinnati,Midwest,10,296020
2011,Cleveland,Midwest,4,392594
2011,Cleveland,South,4,392594
2011,Columbus,Midwest,40,800522
2011,Columbus,South,4,800522
2011,Dallas,South,16,1218320
2011,Denver,West,25,620513
2011,Detroit,Midwest,7,705043
2011,Eugene,West,22,157411
2011,Flint,Midwest,2,101207
2011,Grand Rapids,Midwest,6,189087
2011,Houston,South,13,2124143
2011,Indianapolis,Midwest,51,827604
2011,Kansas City,Midwest,50,462356
2011,Keansburg,Northeast,16,10039
2011,Las Vegas Metropolitan Police Department,West,52,586635
2011,Lincoln,Midwest,23,262466
2011,Lincoln,Northeast,2,262466
2011,Lincoln,South,2,262466
2011,Los Angeles,West,170,3821136
2011,Memphis,South,22,655590
2011,Mesa,West,8,447681
2011,Milwaukee,Midwest,25,597056
2011,Minneapolis,Midwest,43,388022
2011,New York,Northeast,240,8272963
2011,Phoenix,West,123,1470052
2011,Pittsburgh,Northeast,4,306107
2011,Portland,Northeast,16,595410
2011,Portland,South,1,595410
2011,Portland,West,27,595410
2011,San Diego,West,42,1319697
2011,San Francisco,West,46,815677
2011,San Jose,West,32,969948
2011,Seattle,West,12,623050
2011,St. Louis,Midwest,7,319294
2011,Taylor,Midwest,4,62626
2011,Washington,Northeast,1,619602
2011,Washington,South,79,619602
2011,Wichita,Midwest,18,383729
2012,Boston,Northeast,123,643003
2012,Chicago,Midwest,14,2719735
2012,Cincinnati,Midwest,11,296758
2012,Cleveland,Midwest,9,391500
2012,Cleveland,South,2,391500
2012,Columbus,Midwest,45,812711
2012,Columbus,South,2,812711
2012,Dallas,South,30,1242344
2012,Denver,West,45,635277
2012,Detroit,Midwest,22,700159
2012,Flint,Midwest,4,100185
2012,Grand Rapids,Midwest,6,190817
2012,Houston,South,13,2160086
2012,Kansas City,Midwest,49,464607
2012,Keansburg,Northeast,11,9995
2012,Las Vegas Metropolitan Police Department,West,73,593411
2012,Lincoln,Northeast,1,265663
2012,Los Angeles,West,124,3852532
2012,Memphis,South,61,659089
2012,Mesa,West,2,457061
2012,Milwaukee,Midwest,14,598581
2012,Minneapolis,Midwest,22,392775
2012,New York,Northeast,374,8348032
2012,Philadelphia,Northeast,11,1551797
2012,Phoenix,West,121,1499839
2012,Pittsburgh,Northeast,3,306470
2012,Portland,Northeast,7,604285
2012,Portland,West,7,604285
2012,San Diego,West,34,1337149
2012,San Francisco,West,35,829027
2012,San Jose,West,15,983322
2012,Seattle,West,86,636495
2012,St. Louis,Midwest,6,319387
2012,Taylor,Midwest,5,62464
2012,Washington,Northeast,1,634725
2012,Washington,South,71,634725
2012,Wichita,Midwest,25,385753
2013,Boston,Northeast,165,653103
2013,Chicago,Midwest,45,2726772
2013,Cincinnati,Midwest,16,297775
2013,Cleveland,Midwest,7,391759
2013,Cleveland,South,1,391759
2013,Columbus,Midwest,99,827824
2013,Dallas,South,18,1259239
2013,Denver,West,30,649513
2013,Detroit,Midwest,3,691883
2013,Eugene,West,15,158451
2013,Grand Rapids,Midwest,3,192991
2013,Houston,South,13,2198280
2013,Indianapolis,Midwest,43,844081
2013,Kansas City,Midwest,64,467243
2013,Keansburg,Northeast,4,9975
2013,Las Vegas Metropolitan Police Department,West,65,599777
2013,Lincoln,Midwest,15,268937
2013,Lincoln,Northeast,1,268937
