year,party,nn,newdate,pop_2,perc
1991,Democratic,7,1991-11-14,47773,0.14652628053503025
1991,Democratic,4,1991-11-09,47773,0.08372930316287443
1991,Democratic,7,1991-10-14,47773,0.14652628053503025
1991,Democratic,5,1991-10-09,47773,0.10466162895359303
1991,Democratic,10,1991-09-14,47773,0.20932325790718606
1991,Democratic,12,1991-09-09,47773,0.2511879094886233
1991,Democratic,3,1991-04-15,47773,0.06279697737215582
1991,Democratic,4,1991-04-10,47773,0.08372930316287443
1991,Democratic,3,1991-08-15,47773,0.06279697737215582
1991,Democratic,8,1991-08-10,47773,0.16745860632574885
1991,Democratic,2,1991-12-15,47773,0.041864651581437214
1991,Democratic,6,1991-12-10,47773,0.12559395474431165
1991,Democratic,8,1991-02-15,47773,0.16745860632574885
1991,Democratic,6,1991-02-10,47773,0.12559395474431165
1991,Democratic,4,1991-01-15,47773,0.08372930316287443
1991,Democratic,4,1991-01-10,47773,0.08372930316287443
1991,Democratic,4,1991-07-15,47773,0.08372930316287443
1991,Democratic,5,1991-07-10,47773,0.10466162895359303
1991,Democratic,7,1991-06-15,47773,0.14652628053503025
1991,Democratic,6,1991-06-10,47773,0.12559395474431165
1991,Democratic,13,1991-03-15,47773,0.27212023527934187
1991,Democratic,3,1991-03-10,47773,0.06279697737215582
1991,Democratic,9,1991-05-15,47773,0.18839093211646746
1991,Democratic,10,1991-05-10,47773,0.20932325790718606
1991,Democratic,6,1991-11-15,47773,0.12559395474431165
1991,Democratic,3,1991-11-10,47773,0.06279697737215582
1991,Democratic,5,1991-10-15,47773,0.10466162895359303
1991,Democratic,6,1991-10-10,47773,0.12559395474431165
1991,Democratic,5,1991-09-15,47773,0.10466162895359303
1991,Democratic,6,1991-09-10,47773,0.12559395474431165
1991,Democratic,5,1991-04-16,47773,0.10466162895359303
1991,Democratic,4,1991-04-11,47773,0.08372930316287443
1991,Democratic,6,1991-08-16,47773,0.12559395474431165
1991,Democratic,9,1991-08-11,47773,0.18839093211646746
1991,Democratic,2,1991-12-16,47773,0.041864651581437214
1991,Democratic,2,1991-12-11,47773,0.041864651581437214
1991,Democratic,3,1991-01-21,47773,0.06279697737215582
1991,Democratic,4,1991-02-11,47773,0.08372930316287443
1991,Democratic,8,1991-07-21,47773,0.16745860632574885
1991,Democratic,5,1991-01-11,47773,0.10466162895359303
1991,Democratic,8,1991-06-21,47773,0.16745860632574885
1991,Democratic,5,1991-07-11,47773,0.10466162895359303
1991,Democratic,3,1991-03-21,47773,0.06279697737215582
1991,Democratic,6,1991-06-11,47773,0.12559395474431165
1991,Democratic,5,1991-05-21,47773,0.10466162895359303
1991,Democratic,4,1991-03-11,47773,0.08372930316287443
1991,Democratic,4,1991-11-21,47773,0.08372930316287443
1991,Democratic,5,1991-05-11,47773,0.10466162895359303
1991,Democratic,5,1991-10-21,47773,0.10466162895359303
1991,Democratic,8,1991-11-11,47773,0.16745860632574885
1991,Democratic,8,1991-09-21,47773,0.16745860632574885
1991,Democratic,6,1991-10-11,47773,0.12559395474431165
1991,Democratic,2,1991-04-22,47773,0.041864651581437214
1991,Democratic,2,1991-09-11,47773,0.041864651581437214
1991,Democratic,10,1991-08-22,47773,0.20932325790718606
1991,Democratic,6,1991-04-12,47773,0.12559395474431165
1991,Democratic,4,1991-12-22,47773,0.08372930316287443
1991,Democratic,7,1991-08-12,47773,0.14652628053503025
1991,Democratic,5,1991-02-22,47773,0.10466162895359303
1991,Democratic,2,1991-12-12,47773,0.041864651581437214
1991,Democratic,3,1991-01-22,47773,0.06279697737215582
1991,Democratic,3,1991-02-12,47773,0.06279697737215582
1991,Democratic,7,1991-07-22,47773,0.14652628053503025
1991,Democratic,5,1991-01-12,47773,0.10466162895359303
1991,Democratic,5,1991-06-22,47773,0.10466162895359303
1991,Democratic,7,1991-07-12,47773,0.14652628053503025
1991,Democratic,3,1991-05-27,47773,0.06279697737215582
1991,Democratic,10,1991-06-12,47773,0.20932325790718606
1991,Democratic,4,1991-11-27,47773,0.08372930316287443
1991,Democratic,3,1991-03-12,47773,0.06279697737215582
1991,Democratic,7,1991-10-27,47773,0.14652628053503025
1991,Democratic,6,1991-05-12,47773,0.12559395474431165
1991,Democratic,7,1991-09-27,47773,0.14652628053503025
1991,Democratic,8,1991-11-12,47773,0.16745860632574885
1991,Democratic,4,1991-04-28,47773,0.08372930316287443
1991,Democratic,9,1991-10-12,47773,0.18839093211646746
1991,Democratic,7,1991-08-28,47773,0.14652628053503025
1991,Democratic,4,1991-09-12,47773,0.08372930316287443
1991,Democratic,3,1991-12-28,47773,0.06279697737215582
1991,Democratic,8,1991-04-13,47773,0.16745860632574885
1991,Democratic,3,1991-02-28,47773,0.06279697737215582
1991,Democratic,3,1991-08-13,47773,0.06279697737215582
1991,Democratic,2,1991-01-28,47773,0.041864651581437214
1991,Democratic,4,1991-12-13,47773,0.08372930316287443
1991,Democratic,7,1991-07-28,47773,0.14652628053503025
1991,Democratic,4,1991-02-13,47773,0.08372930316287443
1991,Democratic,2,1991-06-28,47773,0.041864651581437214
1991,Democratic,4,1991-01-13,47773,0.08372930316287443
1991,Democratic,7,1991-03-28,47773,0.14652628053503025
1991,Democratic,10,1991-07-13,47773,0.20932325790718606
1991,Democratic,4,1991-05-28,47773,0.08372930316287443
1991,Democratic,3,1991-06-13,47773,0.06279697737215582
1991,Democratic,2,1991-11-28,47773,0.041864651581437214
1991,Democratic,2,1991-03-13,47773,0.041864651581437214
1991,Democratic,6,1991-10-28,47773,0.12559395474431165
1991,Democratic,2,1991-05-13,47773,0.041864651581437214
1991,Democratic,6,1991-09-28,47773,0.12559395474431165
1991,Democratic,7,1991-11-13,47773,0.14652628053503025
1991,Democratic,5,1991-04-29,47773,0.10466162895359303
1991,Democratic,9,1991-10-13,47773,0.18839093211646746
1991,Democratic,7,1991-08-29,47773,0.14652628053503025
1991,Democratic,10,1991-09-13,47773,0.20932325790718606
1991,Democratic,6,1991-12-29,47773,0.12559395474431165
1991,Democratic,3,1991-04-14,47773,0.06279697737215582
1991,Democratic,3,1991-01-29,47773,0.06279697737215582
1991,Democratic,4,1991-08-14,47773,0.08372930316287443
1991,Democratic,3,1991-07-29,47773,0.06279697737215582
1991,Democratic,3,1991-12-14,47773,0.06279697737215582
1991,Democratic,6,1991-06-29,47773,0.12559395474431165
1991,Democratic,1,1991-02-14,47773,0.020932325790718607
1991,Democratic,6,1991-03-29,47773,0.12559395474431165
1991,Democratic,6,1991-01-14,47773,0.12559395474431165
1991,Democratic,2,1991-05-29,47773,0.041864651581437214
1991,Democratic,5,1991-12-21,47773,0.10466162895359303
1991,Democratic,2,1991-11-29,47773,0.041864651581437214
1991,Democratic,4,1991-03-19,47773,0.08372930316287443
1991,Democratic,5,1991-10-29,47773,0.10466162895359303
1991,Democratic,7,1991-05-19,47773,0.14652628053503025
1991,Democratic,7,1991-09-29,47773,0.14652628053503025
1991,Democratic,9,1991-11-19,47773,0.18839093211646746
1991,Democratic,8,1991-04-30,47773,0.16745860632574885
1991,Democratic,7,1991-10-19,47773,0.14652628053503025
1991,Democratic,4,1991-08-30,47773,0.08372930316287443
1991,Democratic,7,1991-09-19,47773,0.14652628053503025
1991,Democratic,7,1991-12-30,47773,0.14652628053503025
1991,Democratic,5,1991-04-20,47773,0.10466162895359303
1991,Democratic,4,1991-01-30,47773,0.08372930316287443
1991,Democratic,19,1991-08-20,47773,0.3977141900236535
1991,Democratic,4,1991-07-30,47773,0.08372930316287443
1991,Democratic,5,1991-12-20,47773,0.10466162895359303
1991,Democratic,5,1991-06-30,47773,0.10466162895359303
1991,Democratic,5,1991-02-20,47773,0.10466162895359303
1991,Democratic,3,1991-10-20,47773,0.06279697737215582
1991,Democratic,5,1991-01-20,47773,0.10466162895359303
1991,Democratic,4,1991-05-30,47773,0.08372930316287443
1991,Democratic,9,1991-07-20,47773,0.18839093211646746
1991,Democratic,11,1991-11-30,47773,0.23025558369790466
1991,Democratic,5,1991-06-20,47773,0.10466162895359303
1991,Democratic,3,1991-10-30,47773,0.06279697737215582
1991,Democratic,3,1991-03-20,47773,0.06279697737215582
1991,Democratic,7,1991-09-30,47773,0.14652628053503025
1991,Democratic,7,1991-05-20,47773,0.14652628053503025
1991,Democratic,10,1991-08-31,47773,0.20932325790718606
1991,Democratic,4,1991-11-20,47773,0.08372930316287443
1991,Democratic,7,1991-12-31,47773,0.14652628053503025
1991,Democratic,4,1991-04-21,47773,0.08372930316287443
1991,Democratic,2,1991-01-31,47773,0.041864651581437214
1991,Democratic,5,1991-09-20,47773,0.10466162895359303
1991,Democratic,6,1991-07-31,47773,0.12559395474431165
1991,Democratic,7,1991-03-22,47773,0.14652628053503025
1991,Democratic,2,1991-03-31,47773,0.041864651581437214
1991,Democratic,9,1991-08-21,47773,0.18839093211646746
1991,Democratic,2,1991-05-31,47773,0.041864651581437214
1991,Democratic,17,1991-10-31,47773,0.3558495384422163
1991,Democratic,8,1991-02-21,47773,0.16745860632574885
1991,Republican,4,1991-12-15,202889,0.01971521373756093
1991,Republican,3,1991-12-16,202889,0.014786410303170698
1991,Republican,5,1991-02-04,202889,0.024644017171951166
1991,Republican,7,1991-02-16,202889,0.034501624040731635
1991,Republican,6,1991-12-06,202889,0.029572820606341397
1991,Republican,14,1991-01-16,202889,0.06900324808146327
1991,Republican,6,1991-08-06,202889,0.029572820606341397
1991,Republican,6,1991-07-16,202889,0.029572820606341397
1991,Republican,3,1991-01-06,202889,0.014786410303170698
1991,Republican,9,1991-06-16,202889,0.0443592309095121
1991,Republican,11,1991-07-06,202889,0.054216837778292566
1991,Republican,6,1991-03-16,202889,0.029572820606341397
1991,Republican,8,1991-06-06,202889,0.03943042747512186
1991,Republican,9,1991-05-16,202889,0.0443592309095121
1991,Republican,3,1991-03-06,202889,0.014786410303170698
1991,Republican,9,1991-11-16,202889,0.0443592309095121
1991,Republican,9,1991-05-06,202889,0.0443592309095121
1991,Republican,10,1991-10-16,202889,0.04928803434390233
1991,Republican,6,1991-11-06,202889,0.029572820606341397
1991,Republican,6,1991-02-06,202889,0.029572820606341397
1991,Republican,12,1991-10-06,202889,0.059145641212682794
1991,Republican,5,1991-04-17,202889,0.024644017171951166
1991,Republican,10,1991-09-06,202889,0.04928803434390233
1991,Republican,16,1991-08-17,202889,0.07886085495024373
1991,Republican,6,1991-04-07,202889,0.029572820606341397
1991,Republican,5,1991-12-17,202889,0.024644017171951166
1991,Republican,6,1991-08-07,202889,0.029572820606341397
1991,Republican,7,1991-02-17,202889,0.034501624040731635
1991,Republican,8,1991-12-07,202889,0.03943042747512186
1991,Republican,14,1991-01-17,202889,0.06900324808146327
1991,Republican,8,1991-02-07,202889,0.03943042747512186
1991,Republican,8,1991-07-17,202889,0.03943042747512186
1991,Republican,9,1991-09-16,202889,0.0443592309095121
1991,Republican,6,1991-06-17,202889,0.029572820606341397
1991,Republican,4,1991-01-02,202889,0.01971521373756093
1991,Republican,7,1991-03-17,202889,0.034501624040731635
1991,Republican,10,1991-07-02,202889,0.04928803434390233
1991,Republican,6,1991-05-17,202889,0.029572820606341397
1991,Republican,15,1991-06-02,202889,0.0739320515158535
1991,Republican,4,1991-11-17,202889,0.01971521373756093
1991,Republican,8,1991-03-02,202889,0.03943042747512186
1991,Republican,6,1991-10-17,202889,0.029572820606341397
1991,Republican,9,1991-05-02,202889,0.0443592309095121
1991,Republican,12,1991-09-17,202889,0.059145641212682794
1991,Republican,9,1991-11-02,202889,0.0443592309095121
1991,Republican,6,1991-04-18,202889,0.029572820606341397
1991,Republican,8,1991-10-02,202889,0.03943042747512186
1991,Republican,10,1991-08-18,202889,0.04928803434390233
1991,Republican,4,1991-09-02,202889,0.01971521373756093
1991,Republican,6,1991-12-18,202889,0.029572820606341397
1991,Republican,8,1991-04-03,202889,0.03943042747512186
1991,Republican,1,1991-02-18,202889,0.004928803434390233
1991,Republican,17,1991-08-03,202889,0.08378965838463397
1991,Republican,9,1991-01-18,202889,0.0443592309095121
1991,Republican,10,1991-12-03,202889,0.04928803434390233
1991,Republican,5,1991-07-18,202889,0.024644017171951166
1991,Republican,9,1991-02-03,202889,0.0443592309095121
1991,Republican,3,1991-06-18,202889,0.014786410303170698
1991,Republican,3,1991-01-03,202889,0.014786410303170698
1991,Republican,2,1991-03-18,202889,0.009857606868780466
1991,Republican,11,1991-07-03,202889,0.054216837778292566
1991,Republican,6,1991-05-18,202889,0.029572820606341397
1991,Republican,9,1991-06-03,202889,0.0443592309095121
1991,Republican,7,1991-11-18,202889,0.034501624040731635
1991,Republican,4,1991-03-03,202889,0.01971521373756093
1991,Republican,15,1991-10-18,202889,0.0739320515158535
1991,Republican,8,1991-05-03,202889,0.03943042747512186
